ACCOUNT_NUM,SUBS_ID,SUBS_PRODUCT_SEQ,CHARGE_SEQ,CHARGE_NUMBER,DOMAIN_ID,CUSTOMER_REF,PRODUCT_SEQ,PRODUCT_ID,CHARGE_START_DAT,CHARGE_END_DAT,CHARGE_COST_MNY,CHARGE_TYPE_ID,CHARGE_TYPE_VALUE,CHARGE_SUB_TYPE_ID,CHARGE_SUB_TYPE_VALUE,TARIFF_ID,REVENUE_CODE_ID,REVENUE_CODE_VALUE,CPS_ID,TAXCODE_ID,TAXCODE_VALUE,PERCENTAGE_PCT,PRODUCT_QUANTITY,PRODUCT_AGE,BPC_STATUS_ID,BPC_STATUS_VALUE,CREATED_DTM,ANCHOR_DAT,TARIFF_VERSION,RECEIVABLE_CLASS_ID,IN_ADVANCE_BOO,BUDGET_CENTRE_SEQ,PACKAGE_SEQ,PACKAGE_ID,PRODUCT_PACKAGE_INSTANCE,PARENT_PRODUCT_SEQ,ADDITIONS_QUANTITY,TERMINATIONS_QUANTITY,PACKAGE_BASIC_TARIFF_ID,PACKAGE_BASIC_COST_MNY,PACKAGE_DISC_REV_CODE_ID,PRE_OVERRIDE_COST_MNY,OVERRIDE_REV_CODE_ID,EARLY_TERM_MULT_COST_MNY,EARLY_TERM_MULT_REV_CODE_ID,CONTRACT_REF,CONTRACT_TERM,CONTRACT_TERM_UNITS,PRODUCT_ATTR_1,PRODUCT_ATTR_2,PRODUCT_ATTR_3,PRODUCT_ATTR_4,PRODUCT_ATTR_5,PRODUCT_ATTR_6,OVERRIDE_NUMBER,OVERRIDE_MOD_TYPE_ID,OVERRIDE_MOD_TYPE_VALUE,AGE_DEPENDENT_PRICE_ID,ADP_FROM_NUMBER,ADP_TO_NUMBER,ADP_PERIOD_UNITS,PRE_ADP_COST_MNY,ADP_RECUR_DISC_REV_CODE_ID,FULL_PERIOD_COST_MNY,CHARGE_START_DTM,CHARGE_END_DTM,ACTIVATION_RULE,SUSPENSION_RULE,REACTIVATION_RULE,TERMINATION_RULE,REV_RECOGNITION_CLASS_ID,CHARGE_SOURCE,CONTRACT_START_DAT,CONTRACT_TYPE_ID,TAX_RATE_PCT,TAX_RATE_MNY,TAX_RATE_CURRENCY_CODE,COG_MEMBER_QTY,ACCUMULATED_POINTS,REDEEMED_POINTS,PRE_LOYALTY_COST_MNY,PRICE_ATTR_1,PRICE_ATTR_2,PRICE_ATTR_3,PRICE_ATTR_4,PRICE_ATTR_5,PRICE_ATTR_6,SPLIT_CHARGE_AMOUNT_MNY,PRE_SPLIT_FULL_PERIOD_COST_MNY,SPLIT_CHARGE_SOURCE,ACTUAL_CHARGE_START_DAT,ACTUAL_CHARGE_END_DAT,BILL_SEQ,BILL_VERSION,BILL_DTM,history_date
ACC_20190513081437,9852346234,1,4,2,327993354,CUST_20190513081437,1,362,1-Aug-19,31-Aug-19,8800,2,Periodic,201,Standard recurring,1389,1000401,,1,1,Tax 10 %,10000,1,2,1,Charged,1-Sep-19,1-Sep-19,1,-1,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8800,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,4,1,1-Sep-19,2020-10-04-00-00-00
ACC_20190523065513,1532465,2,1,1,874988549,CUST_20190523065513,2,400,23-May-19,31-May-19,0,2,Periodic,201,Standard recurring,1360,-1,,1,1,Tax 10 %,10000,1,0,1,Charged,1-Jul-19,1-Jun-19,1,-1,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,1,1,1-Jun-19,2020-10-04-00-00-00
ACC_20190523065513,1532465,2,1,2,874988549,CUST_20190523065513,1,362,23-May-19,31-May-19,2550,2,Periodic,201,Standard recurring,1389,1000401,,1,1,Tax 10 %,10000,1,0,1,Charged,1-Jul-19,1-Jun-19,1,-1,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8800,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,1,1,1-Jun-19,2020-10-04-00-00-00
1000001100,1132412341,1,2,26,895421682,100003721,28,363,5-Jul-19,31-Jul-19,0,2,Periodic,201,Standard recurring,1572,-1,,1,1,Tax 10 %,10000,1,0,1,Charged,1-Aug-19,1-Aug-19,1,-1,F,,,,,,,,,,,,,,,,,,Plan Charges,,,,,,,,,,,,,,,0,,,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,2,1,1-Aug-19,2020-10-04-00-00-00
1000001100,1132412341,1,2,27,895421682,100003721,29,411,5-Jul-19,31-Jul-19,0,2,Periodic,201,Standard recurring,1322,-1,,1,1,Tax 10 %,10000,1,0,1,Charged,1-Aug-19,1-Aug-19,1,-1,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,2,1,1-Aug-19,2020-10-04-00-00-00
1000001100,1132412341,1,2,28,895421682,100003721,1,362,5-Jul-19,31-Jul-19,6090,2,Periodic,201,Standard recurring,1511,1000201,,1,1,Tax 10 %,10000,1,0,1,Charged,1-Aug-19,1-Aug-19,1,-1,F,,,,,,,,,,,,,,,,,,Plan Charges,,,,,,,,,,,,,,,7000,,,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,2,1,1-Aug-19,2020-10-04-00-00-00
1000001100,1132412341,1,2,29,895421682,100003721,16,362,5-Jul-19,31-Jul-19,7830,2,Periodic,201,Standard recurring,1510,1000301,,1,1,Tax 10 %,10000,1,0,1,Charged,1-Aug-19,1-Aug-19,1,-1,F,,,,,,,,,,,,,,,,,,Plan Charges,,,,,,,,,,,,,,,9000,,,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,2,1,1-Aug-19,2020-10-04-00-00-00
1000001100,1132412341,1,3,4,895421682,100003721,5,364,1-Aug-19,31-Aug-19,0,2,Periodic,201,Standard recurring,1558,1000201,,1,1,Tax 10 %,10000,1,0,5,Canselled,6-Sep-19,1-Sep-19,1,-1,F,,,,,,,,,,,,,,,,,,Option Charges,,,,,,,,,,,,,,,0,,,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,3,2,1-Sep-19,2020-10-04-00-00-00
1000001100,1132412341,1,3,4,895421682,100003721,5,364,1-Aug-19,31-Aug-19,0,2,Periodic,201,Standard recurring,1558,1000201,,1,1,Tax 10 %,10000,1,0,5,Canselled,6-Sep-19,1-Sep-19,1,-1,F,,,,,,,,,,,,,,,,,,Option Charges,,,,,,,,,,,,,,,0,,,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,3,1,1-Sep-19,2020-10-04-00-00-00
1000001100,1132412341,1,3,1,895421682,100003721,2,379,1-Aug-19,31-Aug-19,0,2,Periodic,201,Standard recurring,1335,-1,,1,1,Tax 10 %,10000,1,0,5,Canselled,6-Sep-19,1-Sep-19,1,-1,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,3,2,1-Sep-19,2020-10-04-00-00-00
1000001100,1132412341,1,3,1,895421682,100003721,2,379,1-Aug-19,31-Aug-19,0,2,Periodic,201,Standard recurring,1335,-1,,1,1,Tax 10 %,10000,1,0,5,Canselled,6-Sep-19,1-Sep-19,1,-1,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,3,1,1-Sep-19,2020-10-04-00-00-00
1000001100,1132412341,1,3,2,895421682,100003721,3,365,1-Aug-19,31-Aug-19,0,2,Periodic,201,Standard recurring,1573,-1,,1,1,Tax 10 %,10000,1,0,5,Canselled,6-Sep-19,1-Sep-19,1,-1,F,,,,,,,,,,,,,,,,,,Plan Charges,,,,,,,,,,,,,,,0,,,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,3,2,1-Sep-19,2020-10-04-00-00-00
1000001100,1132412341,1,3,2,895421682,100003721,3,365,1-Aug-19,31-Aug-19,0,2,Periodic,201,Standard recurring,1573,-1,,1,1,Tax 10 %,10000,1,0,5,Canselled,6-Sep-19,1-Sep-19,1,-1,F,,,,,,,,,,,,,,,,,,Plan Charges,,,,,,,,,,,,,,,0,,,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,3,1,1-Sep-19,2020-10-04-00-00-00
1000001100,1132412341,1,3,3,895421682,100003721,4,363,1-Aug-19,31-Aug-19,0,2,Periodic,201,Standard recurring,1499,-1,,1,1,Tax 10 %,10000,1,0,5,Canselled,6-Sep-19,1-Sep-19,1,-1,F,,,,,,,,,,,,,,,,,,Plan Charges,,,,,,,,,,,,,,,0,,,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,3,2,1-Sep-19,2020-10-04-00-00-00
1000001100,1132412341,1,3,3,895421682,100003721,4,363,1-Aug-19,31-Aug-19,0,2,Periodic,201,Standard recurring,1499,-1,,1,1,Tax 10 %,10000,1,0,5,Canselled,6-Sep-19,1-Sep-19,1,-1,F,,,,,,,,,,,,,,,,,,Plan Charges,,,,,,,,,,,,,,,0,,,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,3,1,1-Sep-19,2020-10-04-00-00-00
1000001100,1132412341,1,3,5,895421682,100003721,6,366,1-Aug-19,31-Aug-19,3000,2,Periodic,201,Standard recurring,1504,2100301,,1,1,Tax 10 %,10000,1,0,5,Canselled,6-Sep-19,1-Sep-19,1,-1,F,,,,,5,,,,,,,,,,,,,Option Charges,,,,,,,,,,,,,,,3000,,,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,3,2,1-Sep-19,2020-10-04-00-00-00
1000001100,1132412341,1,3,5,895421682,100003721,6,366,1-Aug-19,31-Aug-19,3000,2,Periodic,201,Standard recurring,1504,2100301,,1,1,Tax 10 %,10000,1,0,5,Canselled,6-Sep-19,1-Sep-19,1,-1,F,,,,,5,,,,,,,,,,,,,Option Charges,,,,,,,,,,,,,,,3000,,,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,3,1,1-Sep-19,2020-10-04-00-00-00
1000001100,1132412341,1,3,6,895421682,100003721,7,376,1-Aug-19,31-Aug-19,0,2,Periodic,201,Standard recurring,1617,-1,,1,1,Tax 10 %,10000,1,0,5,Canselled,6-Sep-19,1-Sep-19,1,-1,F,,,,,5,,,,,,,,,,,,,Plan Charges,,,,,,,,,,,,,,,0,,,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,3,2,1-Sep-19,2020-10-04-00-00-00
