revenue_feed_id,attribute_number,attribute_value,action_type,null_group_value,default_value,attribute_number_for_transform,extraction_timestamp,date,history_date
-4,13,OTC Seq,1,NULL,NULL,12,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-1,1,revenue_code_id,1,NULL,NULL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-1,2,tax_code_id,1,NULL,NULL,2,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
1,1,Cost,2,NULL,NULL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-4,9,Charge Cost,2,NULL,NULL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-5,1,Source Class ID,1,NULL,NULL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-5,2,Event Attribute 36,1,NULL,NULL,2,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-5,3,Event Source,1,NULL,NULL,3,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-3,1,revenue_code_id,1,NULL,NULL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-3,2,otc_class,1,NULL,NULL,2,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-3,3,tax_code_id,1,NULL,NULL,3,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-3,4,revenue_mny,2,NULL,NULL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-3,5,transaction_count,2,NULL,NULL,2,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-1,3,revenue_mny,2,NULL,NULL,1,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-1,4,transaction_count,2,NULL,NULL,2,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-1,5,internal_cost_mny,2,NULL,NULL,3,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-1,6,external_cost_mny,2,NULL,NULL,4,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
-1,7,competitor_cost_mny,2,NULL,NULL,5,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
