party_role_id,individual_id,customer_id,customer_ref,individual_ref,extraction_timestamp,date,history_date
9158144698613285771,9158144699713285608,9158144695713285608,1000164148,3000164128,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144706013286494,9158144707913286394,9158144703913286394,1000164151,3000164131,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158137924513252120,9158137925413252120,9158137921413252120,1000163949,3000163949,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158143994113256374,9158143991313256259,9158143997213256259,1000163969,3000163969,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158143999913256013,9158143980313256083,9158143986213256083,1000163968,3000163968,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144006613256400,9158143999913256377,9158143995913256377,1000163971,3000163971,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144007713256645,9158144008613256645,9158144004613256645,1000163974,3000163974,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144170213272630,9158144175013272630,9158144175613272530,1000164008,3000164011,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144184013272995,9158144185913272895,9158144181913272895,1000164012,3000164013,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144216313273584,9158144217213273584,9158144213213273584,1000164019,3000164021,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144219813273356,9158144206013273367,9158144202013273367,1000164018,3000164020,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144249813273912,9158144204713273267,9158144200713273267,1000164017,3000164019,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144273213275458,9158144274113275458,9158144270113275458,1000164026,3000164030,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144408913278196,9158144367313277516,9158144259113274955,1000164025,3000164037,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144417813278260,9158144404013278296,9158144400013278296,1000164049,3000164039,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144420313278440,9158144421213278440,9158144427113278440,1000164050,3000164040,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144448613278416,9158144449513278416,9158144445513278416,1000164051,3000164041,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144473413279016,9158144479513278904,9158144475513278904,1000164068,3000164048,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144478613278904,9158144479513278904,9158144475513278904,1000164068,3000164048,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144535013280612,9158144522213280583,9158144528113280583,1000164089,3000164069,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144543313280933,9158144544213280933,9158144540213280933,1000164091,3000164071,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144594913281626,9158144587813281598,9158144583813281598,1000164095,3000164075,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144641013284206,9158144636213284078,9158144632213284078,1000164109,3000164089,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144645613284397,9158144646513284397,9158144640513284397,1000164110,3000164090,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144697013285871,9158144698913285771,9158144694913285771,1000164149,3000164129,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144698813285608,9158144699713285608,9158144695713285608,1000164148,3000164128,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144705013286172,9158144702113286055,9158144708013286055,1000164150,3000164130,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158179770013299754,9158179771913299654,9158179777813299654,1000164171,3000164149,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9154793098813366517,9154793098813366509,9154793098813366505,1000163974,3000163960,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158143999713256377,9158143990713256377,9158143996613256377,1000163970,3000163970,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144007313256983,9158144005313256645,9158144004213256625,1000163973,3000163973,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144008413256645,9158144005313256645,9158144004213256625,1000163973,3000163973,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144008613256754,9158144000113256625,9158144006013256625,1000163972,3000163972,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144203813273267,9158144204713273267,9158144200713273267,1000164017,3000164019,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144209613273267,9158144193613273072,9158144177613272530,1000164010,3000164015,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144252313274955,9158144253213274955,9158144259113274955,1000164025,3000164028,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144294813275517,9158144289913275450,9158144285913275450,1000164027,3000164031,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144481513279290,9158144482413279290,9158144476313279253,1000164069,3000164049,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144493413279672,9158144491513279539,9158144497413279539,1000164070,3000164050,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144498313279883,9158144499213279883,9158144495213279883,1000164088,3000164068,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144498613279783,9158144494813279672,9158144490813279672,1000164071,3000164051,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144584913281428,9158144574213281489,9158144570213281489,1000164094,3000164074,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144586913281598,9158144587813281598,9158144583813281598,1000164095,3000164075,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144602213282443,9158144482413279290,9158144476313279253,1000164069,3000164049,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144649113284497,9158144646513284397,9158144640513284397,1000164110,3000164090,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144676713285154,9158144677613285154,9158144673613285154,1000164128,3000164108,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144691613285883,9158144698913285771,9158144694913285771,1000164149,3000164129,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144711613286436,9158144707913286394,9158144703913286394,1000164151,3000164131,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158179916513299878,9158179771913299654,9158179777813299654,1000164171,3000164149,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158143998013256477,9158143999913256377,9158143995913256377,1000163971,3000163971,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144009113256625,9158144000113256625,9158144006013256625,1000163972,3000163972,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144174013272630,9158144178813272530,9158144178613272530,1000164011,3000164010,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144192813273072,9158144193713273072,9158144199613273072,1000164014,3000164016,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144205113273367,9158144206013273367,9158144202013273367,1000164018,3000164020,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144229513273785,9158144220513273785,9158144226413273785,1000164023,3000164025,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144239313273885,9158144220513273785,9158144226413273785,1000164023,3000164025,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144307713276192,9158144308613276192,9158144304613276192,1000164029,3000164033,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144338013276783,9158144339913276683,9158144335913276683,1000164030,3000164034,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144389613277758,9158144389613277640,9158144385613277640,1000164048,3000164038,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144447313278623,9158144449513278416,9158144445513278416,1000164051,3000164041,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144551713281034,9158144552613281034,9158144558513281034,1000164092,3000164072,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144566613281298,9158144569713281158,9158144565713281158,1000164093,3000164073,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144568813281158,9158144569713281158,9158144565713281158,1000164093,3000164073,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144629413283776,9158144626813283645,9158144622813283645,1000164108,3000164088,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144008613256525,9158143990713256377,9158143996613256377,1000163970,3000163970,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144035113257567,9158144036013257567,9158144032013257567,1000163989,3000163989,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144173113272630,9158144174713272530,9158144176613272530,1000164009,3000164008,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144174113272630,9158144176713272530,9158144177613272530,1000164010,3000164009,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144183313272995,9158144184213272995,9158144180213272995,1000164013,3000164014,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144189613272779,9158144174713272530,9158144176613272530,1000164009,3000164008,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144197013273068,9158144185913272895,9158144181913272895,1000164012,3000164013,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144209713273116,9158144200713273116,9158144206613273116,1000164016,3000164018,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144221913273626,9158144222813273626,9158144228713273626,1000164022,3000164024,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144248313274266,9158144244513274156,9158144240513274156,1000164024,3000164026,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144288013275550,9158144289913275450,9158144285913275450,1000164027,3000164031,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144293613275624,9158144294513275624,9158144290513275624,1000164028,3000164032,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144312513276221,9158144308613276192,9158144304613276192,1000164029,3000164033,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144344813276811,9158144345713276811,9158144341713276811,1000164031,3000164035,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144349513276982,9158144345713276811,9158144341713276811,1000164031,3000164035,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144490613279539,9158144491513279539,9158144497413279539,1000164070,3000164050,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144493913279672,9158144494813279672,9158144490813279672,1000164071,3000164051,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144521313280583,9158144522213280583,9158144528113280583,1000164089,3000164069,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144573313281489,9158144574213281489,9158144570213281489,1000164094,3000164074,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144592713281731,9158144552613281034,9158144558513281034,1000164092,3000164072,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144670313285254,9158144677613285154,9158144673613285154,1000164128,3000164108,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
9158144701213286055,9158144702113286055,9158144708013286055,1000164150,3000164130,2020-10-04 00:00:00,2020-10-04,2020-10-04-00-00-00
