CUSTOMER_REF,ACCOUNT_NUM,BILL_SEQ,BILL_DTM,BILL_TYPE_ID,BILL_TYPE_VALUE,BALANCE_FWD_MNY,INVOICE_NET_MNY,INVOICE_TAX_MNY,PAYMENTS_MNY,FAILED_PAYMENTS_MNY,ADJUSTMENTS_MNY,REFUNDS_MNY,BALANCE_OUT_MNY,EBD_EMAIL_STATUS,POINTS_FWD,POINTS_EARNED,POINTS_ADJUSTED,POINTS_REDEEMED,POINTS_OUT,TRANS_BILLED_TO_DTM,EVENT_BILLED_TO_DTM,TAX_POINT_DAT,OUTSTANDING_DEBT_MNY,CHASE_DEBT_MNY,CURRENT_DISPUTE_MNY,MODIFICATION_DAYS,CREDIT_ADJ_BILLED_TO_DTM,DEBIT_ADJ_BILLED_TO_DTM,LOYALTY_TRANS_BILLED_TO_DTM,EVENT_SEQ,INFO_INVOICE_MNY,INFO_CURRENCY_CODE_ID,INFO_CURRENCY_CODE_VALUE,STATEMENT_BOO,BILL_SETTLED_BOO,EVENT_ARCHIVE_STATUS_ID,EVENT_ARCHIVE_STATUS_VALUE,INVOICE_NUM,ACTUAL_BILL_DTM,START_OF_BILL_DTM,BILL_VERSION,BILL_STATUS_ID,BILL_STATUS_VALUE,CANCELLATION_REQUEST_DAT,CANCELLATION_DTM,REPLACES_INVOICE_NUM,BILLED_WITH_BILL_SEQ,CANCELLED_REASON_TXT,ARCHIVE_DAT,INVOICE_NUM_STATUS_ID,INVOICE_NUM_STATUS_VALUE,INVOICE_REGISTER_ID,CHARGE_SEQ,DEBT_START_DAT,PAYMENT_DUE_DAT,BILL_HANDLING_CODE,OCR_NUM,BILL_SETTLED_DTM,EVENT_MASKED_BOO,BILL_LABEL,EVENT_DEL_NO_ARCHIVE_BOO,MIN_BILLED_EVENT_DTM,MAX_BILLED_EVENT_DTM,MIN_RERATED_EVENT_DTM,MAX_RERATED_EVENT_DTM,DISCOUNTED_RERATING_BOO,DOMAIN_ID,UST_CURRENCY_CODE,COLLECTION_NOTIFY_BOO,ADFG_PROCESSED_DTM,BILLING_OFFER_ID,OTC_MNY,OTC_BILLED_TO_DTM,OVERRIDE_BILL_DTM,LATE_FEE_MNY,DEFERRED_CHARGES_TOT,OVERWRITTEN_DEF_CHARGE_TOT,SETTLEUP_CHARGES_TOT,OEFR_CREATED_BOO,PA_DP_INVOICE_BILL_MNY,PA_FED_INVOICE_DUE_MNY,PA_FED_INVOICE_BILL_MNY,PA_PAYMENT_MNY,POINTS_EXPIRED,FDE_EXTRACT_ID,UST_LINESANDLOCS_DETAIL_LEVEL,UST_LINESANDLOCS_BILLED_TO_DAT,UST_MAXTAX_TRANSACTION_STATUS,HISTORY_DATE
521030514,521030514,1,1-Jun-19,1,periodic,0,10570,1050,0,0,0,0,11620,,0,0,0,0,0,21-May-19,1-Jun-19,1-Jun-19,11620,11620,0,0,21-May-19,21-May-19,21-May-19,1,,EUR,European currency,T,F,,,2.02E+14,21-May-19,21-May-19,1,1,created,,,,,,31-Jul-19,2,Printed,,1,1-Jul-19,1-Jul-19,ELEC,,,F,,,,,,,F,69620447,,F,,,0,21-May-19,1-Jun-19,0,,,,F,0,0,0,0,0,,,,,2020-10-04-00-00-00
521030514,521030514,2,10-Jul-19,9,On demand bill,0,2000,200,0,0,0,0,2200,,0,0,0,0,0,10-Jul-19,1-Jun-19,10-Jul-19,2200,2200,0,0,21-May-19,21-May-19,21-May-19,,,EUR,European currency,T,F,,,2.02E+14,10-Jul-19,1-Jun-19,1,28,On-Demand bill Created,,,,,,8-Sep-19,2,Printed,,,11-Jul-19,11-Jul-19,ELEC,,,F,,,,,,,F,69620447,,F,,,2000,21-May-19,,0,,,,F,0,0,0,0,0,,,,,2020-10-04-00-00-00
521030514,521030514,3,11-Jul-19,9,On demand bill,0,0,0,0,0,0,0,0,,0,0,0,0,0,10-Jul-19,1-Jun-19,10-Jul-19,0,0,0,0,21-May-19,21-May-19,21-May-19,,,EUR,European currency,T,T,,,2.02E+14,10-Jul-19,1-Jun-19,1,28,On-Demand bill Created,,,,,,11-Jul-19,2,Printed,,,11-Jul-19,11-Jul-19,ELEC,,9-Aug-19,F,,,,,,,F,69620447,,F,,,0,21-May-19,,0,,,,F,0,0,0,0,0,,,,,2020-10-04-00-00-00
521030514,521030514,4,1-Jul-19,1,periodic,11620,29800,2980,0,0,0,0,46600,,0,0,0,0,0,1-Jul-19,1-Jul-19,10-Jul-19,0,0,0,0,10-Jul-19,10-Jul-19,1-Jul-19,2,,EUR,European currency,T,T,,,2.02E+14,10-Jul-19,1-Jun-19,1,1,created,,,,,,30-Aug-19,2,Printed,,2,1-Aug-19,1-Aug-19,ELEC,,9-Aug-19,F,,,,,,,F,69620447,,F,,,0,1-Jul-19,1-Jul-19,0,,,,F,0,0,0,0,0,,,,,2020-10-04-00-00-00
521030514,521030514,5,1-Aug-19,1,periodic,46600,31800,3180,0,0,0,0,81580,,0,0,0,0,0,10-Jul-19,1-Aug-19,1-Aug-19,0,0,0,0,10-Jul-19,10-Jul-19,10-Jul-19,3,,EUR,European currency,T,T,,,2.02E+14,10-Jul-19,1-Jul-19,1,1,created,,,,,,30-Sep-19,2,Printed,,3,1-Sep-19,1-Sep-19,ELEC,,9-Aug-19,F,,,,,,,F,69620447,,F,,,2000,10-Jul-19,1-Aug-19,0,,,,F,0,0,0,0,0,,,,,2020-10-04-00-00-00
521030514,521030514,7,10-Aug-19,9,On demand bill,0,0,0,0,0,0,0,0,,0,0,0,0,0,10-Jul-19,1-Aug-19,10-Jul-19,0,0,0,0,10-Jul-19,10-Jul-19,10-Jul-19,,,EUR,European currency,T,T,,,2.02E+14,10-Jul-19,1-Aug-19,1,28,On-Demand bill Created,,,,,,10-Aug-19,2,Printed,,,11-Jul-19,11-Jul-19,ELEC,,9-Aug-19,F,,,,,,,F,69620447,,F,,,0,10-Jul-19,,0,,,,F,0,0,0,0,0,,,,,2020-10-04-00-00-00
CUST_20190513081437,ACC_20190513081437,4,1-Sep-19,1,periodic,25280,8800,880,0,0,0,0,-8080,,0,0,0,0,0,1-Sep-19,1-Sep-19,1-Sep-19,9680,,0,0,1-Sep-19,1-Sep-19,1-Sep-19,4,,EUR,European currency,T,F,,,2.02E+14,1-Sep-19,1-Aug-19,1,1,created,,,,,,31-Oct-19,2,Printed,,4,1-Oct-19,1-Oct-19,ELEC,,,F,,,,,,,F,327993354,,F,,,0,1-Sep-19,1-Sep-19,0,,,,F,0,0,0,0,0,,,,,2020-10-04-00-00-00
CUST_20190523065513,ACC_20190523065513,1,1-Jun-19,1,periodic,0,2550,250,0,0,0,0,2800,,0,0,0,0,0,1-Jun-19,1-Jun-19,1-Jul-19,2800,,0,0,1-Jul-19,1-Jul-19,1-Jun-19,1,,EUR,European currency,T,F,,,2.02E+14,1-Jul-19,23-May-19,1,1,created,,,,,,31-Jul-19,2,Printed,,1,1-Jul-19,1-Jul-19,ELEC,,,F,,,,,,,F,874988549,,F,,,0,1-Jun-19,,0,,,,F,0,0,0,0,0,,,,,2020-10-04-00-00-00
CUST_20190523064900,ACC_20190523064900,1,1-Jun-19,1,periodic,0,2550,250,0,0,0,0,2800,,0,0,0,0,0,1-Jun-19,1-Jun-19,1-Jun-19,2800,,0,0,1-Jun-19,1-Jun-19,1-Jun-19,1,,EUR,European currency,T,F,,,2.02E+14,1-Jun-19,23-May-19,1,1,created,,,,,,31-Jul-19,2,Printed,,1,1-Jul-19,1-Jul-19,ELEC,,,F,,,,,,,F,91742982,,F,,,0,1-Jun-19,,0,,,,F,0,0,0,0,0,,,,,2020-10-04-00-00-00
CUST_20190513081437,ACC_20190513081437,5,1-Oct-19,1,periodic,-8080,8800,880,0,0,0,0,-8080,,0,0,0,0,0,1-Oct-19,1-Oct-19,1-Oct-19,9680,,0,0,1-Oct-19,1-Oct-19,1-Oct-19,5,,EUR,European currency,T,F,,,2.02E+14,1-Oct-19,1-Sep-19,1,1,created,,,,,,30-Nov-19,2,Printed,,5,1-Nov-19,1-Nov-19,ELEC,,,F,,,,,,,F,327993354,,F,,,0,1-Oct-19,1-Oct-19,0,,,,F,0,0,0,0,0,,,,,2020-10-04-00-00-00
CUST_20190523064900,ACC_20190523064900,2,1-Jul-19,1,periodic,2800,8800,880,0,0,0,0,12480,,0,0,0,0,0,1-Jul-19,1-Jul-19,1-Jul-19,9680,,0,0,1-Jul-19,1-Jul-19,1-Jul-19,2,,EUR,European currency,T,F,,,2.02E+14,1-Jul-19,1-Jun-19,1,1,created,,,,,,30-Aug-19,2,Printed,,2,1-Aug-19,1-Aug-19,ELEC,,,F,,,,,,,F,91742982,,F,,,0,1-Jul-19,,0,,,,F,0,0,0,0,0,,,,,2020-10-04-00-00-00
CUST_20190523064900,ACC_20190523064900,3,1-Aug-19,1,periodic,12480,8800,880,0,0,0,0,22160,,0,0,0,0,0,1-Aug-19,1-Aug-19,1-Aug-19,9680,,0,0,1-Aug-19,1-Aug-19,1-Aug-19,3,,EUR,European currency,T,F,,,2.02E+14,1-Aug-19,1-Jul-19,1,1,created,,,,,,30-Sep-19,2,Printed,,3,1-Sep-19,1-Sep-19,ELEC,,,F,,,,,,,F,91742982,,F,,,0,1-Aug-19,,0,,,,F,0,0,0,0,0,,,,,2020-10-04-00-00-00
100000024,1000000003,2,3-Jun-19,9,On demand bill,0,418000,41800,0,0,0,0,459800,,0,0,0,0,0,3-Jun-19,1-Jun-19,3-Jun-19,459800,,0,0,1-Jun-19,1-Jun-19,1-Jun-19,,459800,EUR,European currency,T,F,,,2.02E+14,3-Jun-19,1-Jun-19,1,28,On-Demand bill Created,,,,,,2-Aug-19,2,Printed,,,4-Jun-19,4-Jun-19,,,,F,,,,,,,F,597284603,,F,,,418000,1-Jun-19,,0,,,,F,0,0,0,0,0,,,,,2020-10-04-00-00-00
CUST_20190513081437,ACC_20190513081437,2,1-Jul-19,1,periodic,5920,8800,880,0,0,0,0,15600,,0,0,0,0,0,1-Jul-19,1-Jul-19,1-Jul-19,9680,,0,0,1-Jul-19,1-Jul-19,1-Jul-19,2,,EUR,European currency,T,F,,,2.02E+14,1-Jul-19,1-Jun-19,1,1,created,,,,,,30-Aug-19,2,Printed,,2,1-Aug-19,1-Aug-19,ELEC,,,F,,,,,,,F,327993354,,F,,,0,1-Jul-19,,0,,,,F,0,0,0,0,0,,,,,2020-10-04-00-00-00
CUST_20190513081437,ACC_20190513081437,3,1-Aug-19,1,periodic,15600,8800,880,0,0,0,0,25280,,0,0,0,0,0,1-Aug-19,1-Aug-19,1-Aug-19,9680,,0,0,1-Aug-19,1-Aug-19,1-Aug-19,3,,EUR,European currency,T,F,,,2.02E+14,1-Aug-19,1-Jul-19,1,1,created,,,,,,30-Sep-19,2,Printed,,3,1-Sep-19,1-Sep-19,ELEC,,,F,,,,,,,F,327993354,,F,,,0,1-Aug-19,,0,,,,F,0,0,0,0,0,,,,,2020-10-04-00-00-00
CUST_20190513085802,ACC_20190513085802,2,1-Sep-19,1,periodic,6860,8800,880,0,0,0,0,16540,,0,0,0,0,0,1-Sep-19,1-Sep-19,1-Sep-19,9680,,0,0,1-Sep-19,1-Sep-19,1-Sep-19,2,,EUR,European currency,T,F,,,2.02E+14,1-Sep-19,1-Aug-19,1,1,created,,,,,,31-Oct-19,2,Printed,,2,1-Oct-19,1-Oct-19,ELEC,,,F,,,,,,,F,19227503,,F,,,0,1-Sep-19,,0,,,,F,0,0,0,0,0,,,,,2020-10-04-00-00-00
CUST_20190513081437,ACC_20190513081437,6,1-Nov-19,1,periodic,-8080,8800,880,0,0,0,0,-8080,,0,0,0,0,0,1-Nov-19,1-Nov-19,1-Nov-19,9680,,0,0,1-Nov-19,1-Nov-19,1-Nov-19,6,,EUR,European currency,T,F,,,2.02E+14,1-Nov-19,1-Oct-19,1,1,created,,,,,,31-Dec-19,2,Printed,,6,1-Dec-19,1-Dec-19,ELEC,,,F,,,,,,,F,327993354,,F,,,0,1-Nov-19,,0,,,,F,0,0,0,0,0,,,,,2020-10-04-00-00-00
TEST_DDPP,TEST_DDPP_ACCOUNT,6,1-Mar-20,1,periodic,0,0,0,0,0,0,0,0,,0,0,0,0,0,1-Jan-70,1-Oct-19,1-Mar-20,0,,0,0,1-Jan-70,1-Jan-70,1-Jan-70,6,,EUR,European currency,F,T,,,2.02E+14,1-Mar-20,1-Mar-20,1,12,rating-only bill,,,,,,30-Apr-20,2,Printed,,,1-Mar-20,1-Mar-20,,,,F,,,,,,,F,539558460,,F,,,0,1-Jan-70,,0,,,,F,0,0,0,0,0,,,,,2020-10-04-00-00-00
TEST_DDPP,TEST_DDPP_ACCOUNT,7,1-Apr-20,1,periodic,0,6060000,606000,0,0,0,0,6666000,,0,0,0,0,0,1-Apr-20,1-Apr-20,1-Apr-20,6666000,,0,0,1-Apr-20,1-Apr-20,1-Apr-20,7,,EUR,European currency,T,F,,,2.02E+14,1-Apr-20,1-Oct-19,1,1,created,,,,,,31-May-20,2,Printed,,7,1-May-20,1-May-20,,,,F,,,,,,,F,539558460,,F,,,6000000,1-Apr-20,,0,,,,F,0,0,0,0,0,,,,,2020-10-04-00-00-00
TEST_DDPP,TEST_DDPP_ACCOUNT,2,1-Nov-19,1,periodic,0,0,0,0,0,0,0,0,,0,0,0,0,0,1-Jan-70,1-Oct-19,1-Nov-19,0,,0,0,1-Jan-70,1-Jan-70,1-Jan-70,2,,EUR,European currency,F,T,,,2.02E+14,1-Nov-19,1-Nov-19,1,12,rating-only bill,,,,,,31-Dec-19,2,Printed,,,1-Nov-19,1-Nov-19,,,,F,,,,,,,F,539558460,,F,,,0,1-Jan-70,,0,,,,F,0,0,0,0,0,,,,,2020-10-04-00-00-00
TEST_DDPP,TEST_DDPP_ACCOUNT,3,1-Dec-19,1,periodic,0,0,0,0,0,0,0,0,,0,0,0,0,0,1-Jan-70,1-Oct-19,1-Dec-19,0,,0,0,1-Jan-70,1-Jan-70,1-Jan-70,3,,EUR,European currency,F,T,,,2.02E+14,1-Dec-19,1-Dec-19,1,12,rating-only bill,,,,,,30-Jan-20,2,Printed,,,1-Dec-19,1-Dec-19,,,,F,,,,,,,F,539558460,,F,,,0,1-Jan-70,,0,,,,F,0,0,0,0,0,,,,,2020-10-04-00-00-00
TEST_DDPP,TEST_DDPP_ACCOUNT,5,1-Feb-20,1,periodic,0,0,0,0,0,0,0,0,,0,0,0,0,0,1-Jan-70,1-Oct-19,1-Feb-20,0,,0,0,1-Jan-70,1-Jan-70,1-Jan-70,5,,EUR,European currency,F,T,,,2.02E+14,1-Feb-20,1-Feb-20,1,12,rating-only bill,,,,,,1-Apr-20,2,Printed,,,1-Feb-20,1-Feb-20,,,,F,,,,,,,F,539558460,,F,,,0,1-Jan-70,,0,,,,F,0,0,0,0,0,,,,,2020-10-04-00-00-00
100003361,603120000,1,1-Jul-19,1,periodic,0,0,0,0,0,0,0,0,,0,0,0,0,0,1-Jul-19,3-Jun-19,1-Jul-19,0,,0,0,1-Jan-70,1-Jan-70,1-Jan-70,1,,EUR,European currency,T,F,,,2.02E+14,1-Aug-19,3-Jun-19,1,9,suppressed,,,,,,1-Jul-19,2,Printed,,,1-Aug-19,1-Aug-19,ELEC,,,F,,,,,,,F,433112462,,F,,,0,1-Jan-70,,0,,,,F,0,0,0,0,0,,,,,2020-10-04-00-00-00
100003721,1000001100,1,1-Jul-19,1,periodic,0,0,0,0,0,0,0,0,,0,0,0,0,0,1-Jul-19,10-Jun-19,1-Jul-19,0,,0,0,1-Jan-70,1-Jan-70,1-Jan-70,1,0,EUR,European currency,T,F,,,2.02E+14,1-Jul-19,10-Jun-19,1,9,suppressed,,,,,,1-Jul-19,2,Printed,,,1-Aug-19,1-Aug-19,,,,F,,,,,,,F,895421682,,F,,,0,1-Jan-70,,0,,,,F,0,0,0,0,0,,,,,2020-10-04-00-00-00
100003721,1000001100,2,1-Aug-19,1,periodic,0,113680,11360,0,0,0,0,125040,,0,0,0,0,0,1-Aug-19,1-Aug-19,1-Aug-19,0,0,0,0,1-Aug-19,1-Aug-19,1-Aug-19,2,125040,EUR,European currency,T,T,,,2.02E+14,1-Aug-19,10-Jun-19,1,1,created,,,,,,30-Sep-19,2,Printed,,2,1-Sep-19,1-Sep-19,,,15-Aug-19,F,,,,,,,F,895421682,,F,,,71000,1-Aug-19,,0,,,,F,0,0,0,0,0,,,,,2020-10-04-00-00-00
100003721,1000001100,3,1-Sep-19,1,periodic,125040,1425755860,57847420,0,0,0,0,1483603280,,0,0,0,0,0,1-Sep-19,1-Sep-19,6-Sep-19,0,0,0,0,6-Sep-19,6-Sep-19,1-Sep-19,3,1483603280,EUR,European currency,T,F,,,2.02E+14,6-Sep-19,1-Aug-19,1,6,Re-billed,1-Oct-19,1-Sep-19,,,For Re Run,31-Oct-19,2,Printed,,3,1-Oct-19,1-Oct-19,,,29-Sep-19,F,,,1-Aug-19,30-Aug-19,,,F,895421682,,F,,,0,1-Sep-19,,0,,,,F,0,0,0,0,0,,,,,2020-10-04-00-00-00
100003721,1000001100,3,1-Sep-19,1,periodic,125040,1425755860,57847420,0,0,0,0,1483603280,,0,0,0,0,0,1-Sep-19,1-Sep-19,1-Sep-19,1483603280,,0,0,1-Sep-19,1-Sep-19,1-Sep-19,3,1483603280,EUR,European currency,T,F,,,2.02E+14,1-Sep-19,1-Aug-19,2,1,created,,,2.02E+14,,,31-Oct-19,2,Printed,,3,1-Oct-19,1-Oct-19,,,,F,,,1-Aug-19,30-Aug-19,,,F,895421682,,F,,,0,1-Sep-19,,0,,,,F,0,0,0,0,0,,,,,2020-10-04-00-00-00
TEST_DDPP,TEST_DDPP_ACCOUNT,1,1-Oct-19,1,periodic,0,0,0,0,0,0,0,0,,0,0,0,0,0,1-Jan-70,1-Oct-19,1-Oct-19,0,,0,0,1-Jan-70,1-Jan-70,1-Jan-70,1,,EUR,European currency,F,T,,,2.02E+14,1-Oct-19,1-Oct-19,1,12,rating-only bill,,,,,,30-Nov-19,2,Printed,,,1-Oct-19,1-Oct-19,,,,F,,,,,,,F,539558460,,F,,,0,1-Jan-70,,0,,,,F,0,0,0,0,0,,,,,2020-10-04-00-00-00
TEST_DDPP,TEST_DDPP_ACCOUNT,4,1-Jan-20,1,periodic,0,0,0,0,0,0,0,0,,0,0,0,0,0,1-Jan-70,1-Oct-19,1-Jan-20,0,,0,0,1-Jan-70,1-Jan-70,1-Jan-70,4,,EUR,European currency,F,T,,,2.02E+14,1-Jan-20,1-Jan-20,1,12,rating-only bill,,,,,,1-Mar-20,2,Printed,,,1-Jan-20,1-Jan-20,,,,F,,,,,,,F,539558460,,F,,,0,1-Jan-70,,0,,,,F,0,0,0,0,0,,,,,2020-10-04-00-00-00
100000422,1000000141,1,23-Dec-19,9,On demand bill,0,298190,29810,0,0,0,0,328000,,0,0,0,0,0,23-Dec-19,23-Dec-19,23-Dec-19,0,0,0,0,1-Jan-70,1-Jan-70,1-Jan-70,,328000,EUR,European currency,T,T,,,2.02E+14,23-Dec-19,23-Dec-19,1,28,On-Demand bill Created,,,,,,21-Feb-20,2,Printed,,,24-Dec-19,24-Dec-19,,,10-Feb-20,F,,,,,,,F,889233072,,F,,,298190,1-Jan-70,,0,,,,F,0,0,0,0,0,,,,,2020-10-04-00-00-00
