customer_ref,account_num,physical_payment_seq,payment_method_id,payment_method_name,physical_payment_mny,currency_code,created_dtm,physical_payment_dat,payment_status_id,payment_status_value,refund_boo,batch_id,physical_payment_ref,physical_payment_txt,failed_dtm,failure_code_id,failure_txt,cancelled_dtm,cancelled_txt,extraction_timestamp,date,history_date
1000164013,2000164015,2,10002,RecurringCardPayment,26666,OMR,2021-01-01 15:59:36,2021-02-12 00:00:00,1,Created.,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
1000164128,NULL,2,10004,Cash,100000,OMR,2020-12-06 10:11:50,2020-11-26 10:14:05,1,Created.,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
1000164178,NULL,2,10002,RecurringCardPayment,100000,OMR,2020-12-07 14:19:57,2020-11-27 00:00:00,1,Created.,F,NULL,Pay67652,Regular,NULL,NULL,NULL,NULL,NULL,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
1000164129,NULL,2,10002,RecurringCardPayment,200000,OMR,2020-12-07 12:48:25,2020-11-27 00:00:00,1,Created.,F,NULL,Pay26591,Regular,NULL,NULL,NULL,NULL,NULL,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
1000164171,NULL,2,10004,Cash,100000,OMR,2020-12-07 12:12:26,2020-11-27 12:14:40,1,Created.,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
1000164178,NULL,5,10002,RecurringCardPayment,270000,OMR,2020-12-07 16:35:11,2020-10-08 00:00:00,1,Created.,F,NULL,Pay070319020999,payment Description,NULL,NULL,NULL,NULL,NULL,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
1000163950,2000163950,2,10002,RecurringCardPayment,113858,OMR,2021-01-01 15:59:36,2021-02-12 00:00:00,1,Created.,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
1000164010,2000164011,2,10002,RecurringCardPayment,26966,OMR,2021-01-01 15:59:36,2021-02-12 00:00:00,1,Created.,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
1000164011,2000164012,2,10002,RecurringCardPayment,26666,OMR,2021-01-01 15:59:36,2021-02-12 00:00:00,1,Created.,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
1000164011,2000164012,3,10002,RecurringCardPayment,100000,OMR,2021-01-01 15:59:36,2021-02-12 00:00:00,1,Created.,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
1000164178,NULL,7,10002,RecurringCardPayment,270000,OMR,2020-12-07 16:36:03,2020-12-07 00:00:00,1,Created.,F,NULL,Pay070319020999,payment Description,NULL,NULL,NULL,NULL,NULL,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
1000164178,NULL,8,10002,RecurringCardPayment,270000,OMR,2020-12-07 16:36:47,2020-12-07 00:00:00,1,Created.,F,NULL,Pay67652,Regular,NULL,NULL,NULL,NULL,NULL,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
1000163956,2000163956,2,10002,RecurringCardPayment,127716,OMR,2021-01-01 15:59:36,2021-02-12 00:00:00,1,Created.,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
1000164018,2000164018,2,10002,RecurringCardPayment,26666,OMR,2021-01-01 15:59:36,2021-02-12 00:00:00,1,Created.,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
1000163931,NULL,1,10005,Manual,10000,OMR,2020-12-07 18:05:41,2020-12-07 00:00:00,1,Created.,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
1000163954,NULL,1,10004,Cash,100000,OMR,2020-11-23 10:15:44,2020-11-23 10:15:44,1,Created.,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
1000163955,NULL,1,10004,Cash,100000,OMR,2020-11-23 10:15:50,2020-11-23 10:15:50,1,Created.,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
1000163998,NULL,1,10004,Cash,100000,OMR,2020-11-23 10:34:52,2020-11-23 10:34:52,1,Created.,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
1000164010,NULL,1,10004,Cash,100000,OMR,2020-11-23 11:57:23,2020-11-23 11:57:23,1,Created.,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
1000164018,NULL,1,10004,Cash,100000,OMR,2020-11-23 13:27:35,2020-11-23 13:27:36,1,Created.,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
1000164177,NULL,1,10004,Cash,100000,OMR,2020-12-07 13:23:58,2020-11-27 13:26:12,1,Created.,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
1000164178,NULL,1,10004,Cash,100000,OMR,2020-12-07 13:35:44,2020-11-27 13:37:59,1,Created.,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
1000163950,NULL,1,10004,Cash,100000,OMR,2020-11-23 10:14:57,2020-11-23 10:14:56,1,Created.,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
1000163952,NULL,1,10004,Cash,100000,OMR,2020-11-23 10:15:11,2020-11-23 10:15:11,1,Created.,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
1000163956,NULL,1,10004,Cash,100000,OMR,2020-11-23 10:17:50,2020-11-23 10:17:48,1,Created.,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
1000164004,NULL,1,10004,Cash,100000,OMR,2020-11-23 11:15:50,2020-11-23 11:15:50,1,Created.,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
1000164007,NULL,1,10004,Cash,100000,OMR,2020-11-23 11:24:11,2020-11-23 11:24:11,1,Created.,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
1000164013,NULL,1,10004,Cash,100000,OMR,2020-11-23 13:13:37,2020-11-23 13:13:37,1,Created.,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
1000164022,NULL,1,10004,Cash,100000,OMR,2020-11-23 13:35:58,2020-11-23 13:35:55,1,Created.,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
1000164128,NULL,1,10004,Cash,100000,OMR,2020-12-06 10:09:22,2020-11-26 10:11:37,1,Created.,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
1000163953,NULL,1,10004,Cash,100000,OMR,2020-11-23 10:15:37,2020-11-23 10:15:37,1,Created.,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
1000163996,NULL,1,10004,Cash,100000,OMR,2020-11-23 10:29:05,2020-11-23 10:29:05,1,Created.,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
1000164000,NULL,1,10004,Cash,100000,OMR,2020-11-23 10:51:44,2020-11-23 10:51:44,1,Created.,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
1000164176,NULL,1,10004,Cash,100000,OMR,2020-12-07 13:18:58,2020-11-27 13:21:13,1,Created.,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
1000164169,NULL,1,10004,Cash,100000,OMR,2020-12-07 10:05:28,2020-11-27 10:07:43,1,Created.,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
1000164171,NULL,1,10004,Cash,100000,OMR,2020-12-07 12:10:25,2020-11-27 12:12:40,1,Created.,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
1000164172,NULL,1,10004,Cash,100000,OMR,2020-12-07 12:13:14,2020-11-27 12:15:28,1,Created.,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
1000164174,NULL,1,10004,Cash,100000,OMR,2020-12-07 12:28:07,2020-11-27 12:30:21,1,Created.,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
1000164175,NULL,1,10004,Cash,100000,OMR,2020-12-07 12:57:51,2020-11-27 13:00:06,1,Created.,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
1000163929,NULL,1,10004,Cash,100000,OMR,2020-11-23 10:03:34,2020-11-23 10:03:33,1,Created.,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
1000163951,NULL,1,10004,Cash,100000,OMR,2020-11-23 10:15:03,2020-11-23 10:15:03,1,Created.,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
1000163990,NULL,1,10004,Cash,100000,OMR,2020-11-23 10:25:29,2020-11-23 10:25:29,1,Created.,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
1000164011,NULL,1,10004,Cash,100000,OMR,2020-11-23 12:24:35,2020-11-23 12:24:35,1,Created.,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
1000164027,NULL,1,10004,Cash,100000,OMR,2020-11-23 13:50:46,2020-11-23 13:50:46,1,Created.,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
1000164028,NULL,1,10004,Cash,100000,OMR,2020-11-23 14:00:18,2020-11-23 14:00:18,1,Created.,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
1000164129,NULL,1,10004,Cash,100000,OMR,2020-12-06 11:51:48,2020-11-26 11:54:03,1,Created.,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
1000164168,NULL,1,10004,Cash,100000,OMR,2020-12-07 10:05:01,2020-11-27 10:07:15,1,Created.,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
1000164170,NULL,1,10004,Cash,100000,OMR,2020-12-07 12:06:56,2020-11-27 12:09:11,1,Created.,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
1000164000,2000164000,3,10002,RecurringCardPayment,100000,OMR,2021-01-01 15:59:36,2021-02-12 00:00:00,1,Created.,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
1000164004,2000164004,2,10002,RecurringCardPayment,26666,OMR,2021-01-01 15:59:36,2021-02-12 00:00:00,1,Created.,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
1000164004,2000164004,3,10002,RecurringCardPayment,100000,OMR,2021-01-01 15:59:36,2021-02-12 00:00:00,1,Created.,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2020-12-04 13:08:19,2020-12-04,2020-12-04-13-08-19
