customer_ref,account_num,product_seq,product_id,product_name,product_type,parent_product_seq,cust_order_num,supplier_order_num,suppress_init_charge_boo,suppress_term_charge_boo,suppress_early_term_charge_boo,event_source_count,subscription_boo,subs_product_seq,subscription_ref,template_optional_prod_boo,has_add_on_products_boo,domain_id,extraction_timestamp,date,history_date
1000163952,2000163952,1,29,Mobile Postpaid Plan,1,NULL,NULL,9158904176613930913,F,F,F,-1,T,1,0000000004,F,F,364533619,2020-11-29 13:34:19,2020-11-29,2020-11-30-07-12-43
1000163952,2000163952,2,28,Mobile Postpaid Line,1,NULL,NULL,9158904170713930913,F,F,F,-1,F,1,0000000004,F,F,364533619,2020-11-29 13:34:19,2020-11-29,2020-11-30-07-12-43
1000163955,2000163955,2,28,Mobile Postpaid Line,1,NULL,NULL,9158904174713932852,F,F,F,-1,F,1,0000000007,F,F,759941606,2020-11-29 13:34:19,2020-11-29,2020-11-30-07-12-43
1000163956,2000163956,1,29,Mobile Postpaid Plan,1,NULL,NULL,9158904184213935671,F,F,F,-1,T,1,0000000008,F,F,853647607,2020-11-29 13:34:19,2020-11-29,2020-11-30-07-12-43
1000163972,2000164038,1,29,Mobile Postpaid Plan,1,NULL,NULL,9158905699813008850,F,F,F,-1,T,1,0000000024,F,F,833922644,2020-11-29 13:34:19,2020-11-29,2020-11-30-07-12-43
1000163976,2000163976,1,29,Mobile Postpaid Plan,1,NULL,NULL,9158906523013081713,F,F,F,-1,T,1,0000000025,F,F,600934380,2020-11-29 13:34:19,2020-11-29,2020-11-30-07-12-43
1000163976,2000163976,2,28,Mobile Postpaid Line,1,NULL,NULL,9158906527013081713,F,F,F,-1,F,1,0000000025,F,F,600934380,2020-11-29 13:34:19,2020-11-29,2020-11-30-07-12-43
1000163998,2000163998,2,28,Mobile Postpaid Line,1,NULL,NULL,9158904285913954192,F,F,F,-1,F,1,0000000011,F,F,763290482,2020-11-29 13:34:19,2020-11-29,2020-11-30-07-12-43
1000164004,2000164004,1,29,Mobile Postpaid Plan,1,NULL,NULL,9158904535713961536,F,F,F,-1,T,1,0000000013,F,F,871324315,2020-11-29 13:34:19,2020-11-29,2020-11-30-07-12-43
1000164004,2000164004,2,28,Mobile Postpaid Line,1,NULL,NULL,9158904538713961536,F,F,F,-1,F,1,0000000013,F,F,871324315,2020-11-29 13:34:19,2020-11-29,2020-11-30-07-12-43
1000164005,2000164009,1,29,Mobile Postpaid Plan,1,NULL,NULL,9158904691313969472,F,F,F,-1,T,1,0000000015,F,F,157795053,2020-11-29 13:34:19,2020-11-29,2020-11-30-07-12-43
1000164007,2000164007,1,29,Mobile Postpaid Plan,1,NULL,NULL,9158904586613965539,F,F,F,-1,T,1,0000000014,F,F,617606644,2020-11-29 13:34:19,2020-11-29,2020-11-30-07-12-43
1000164013,2000164015,1,29,Mobile Postpaid Plan,1,NULL,NULL,9158905247513982517,F,F,F,-1,T,1,0000000019,F,F,618050621,2020-11-29 13:34:19,2020-11-29,2020-11-30-07-12-43
1000164018,2000164018,2,28,Mobile Postpaid Line,1,NULL,NULL,9158905321813985255,F,F,F,-1,F,1,0000000020,F,F,840884227,2020-11-29 13:34:19,2020-11-29,2020-11-30-07-12-43
1000164022,2000164023,1,29,Mobile Postpaid Plan,1,NULL,NULL,9158905376513989460,F,F,F,-1,T,1,0000000021,F,F,408592629,2020-11-29 13:34:19,2020-11-29,2020-11-30-07-12-43
1000164027,2000164028,2,28,Mobile Postpaid Line,1,NULL,NULL,9158905463613994648,F,F,F,-1,F,1,0000000022,F,F,439830224,2020-11-29 13:34:19,2020-11-29,2020-11-30-07-12-43
1000164111,2000164108,1,29,Mobile Postpaid Plan,1,NULL,NULL,9158921415013169017,F,F,F,-1,T,1,0000000026,F,F,200616813,2020-11-29 13:34:19,2020-11-29,2020-11-30-07-12-43
1000164128,2000164128,1,29,Mobile Postpaid Plan,1,NULL,NULL,9159016456013234559,F,F,F,-1,T,1,0000000027,F,F,155457955,2020-11-29 13:34:19,2020-11-29,2020-11-30-07-12-43
1000164178,2000164171,2,28,Mobile Postpaid Line,1,NULL,NULL,9159026334113425845,F,F,F,-1,F,1,0000000040,F,F,995366216,2020-11-29 13:34:19,2020-11-29,2020-11-30-07-12-43
1000163950,2000163950,2,28,Mobile Postpaid Line,1,NULL,NULL,9158904168613930099,F,F,F,-1,F,1,0000000002,F,F,842916269,2020-11-29 13:34:19,2020-11-29,2020-11-30-07-12-43
1000163951,2000163951,2,28,Mobile Postpaid Line,1,NULL,NULL,9158904175713930507,F,F,F,-1,F,1,0000000003,F,F,76063392,2020-11-29 13:34:19,2020-11-29,2020-11-30-07-12-43
1000163953,2000163953,1,29,Mobile Postpaid Plan,1,NULL,NULL,9158904173413932341,F,F,F,-1,T,1,0000000005,F,F,566702417,2020-11-29 13:34:19,2020-11-29,2020-11-30-07-12-43
1000163953,2000163953,2,28,Mobile Postpaid Line,1,NULL,NULL,9158904177413932341,F,F,F,-1,F,1,0000000005,F,F,566702417,2020-11-29 13:34:19,2020-11-29,2020-11-30-07-12-43
1000163954,2000163954,2,28,Mobile Postpaid Line,1,NULL,NULL,9158904171913932545,F,F,F,-1,F,1,0000000006,F,F,371431189,2020-11-29 13:34:19,2020-11-29,2020-11-30-07-12-43
1000163996,2000163996,1,29,Mobile Postpaid Plan,1,NULL,NULL,9158904252813951745,F,F,F,-1,T,1,0000000010,F,F,341648300,2020-11-29 13:34:19,2020-11-29,2020-11-30-07-12-43
1000164000,2000164000,1,29,Mobile Postpaid Plan,1,NULL,NULL,9158904392013956905,F,F,F,-1,T,1,0000000012,F,F,695166264,2020-11-29 13:34:19,2020-11-29,2020-11-30-07-12-43
1000164005,2000164009,2,28,Mobile Postpaid Line,1,NULL,NULL,9158904695313969472,F,F,F,-1,F,1,0000000015,F,F,157795053,2020-11-29 13:34:19,2020-11-29,2020-11-30-07-12-43
1000164009,2000164014,2,28,Mobile Postpaid Line,1,NULL,NULL,9158905205913980606,F,F,F,-1,F,1,0000000018,F,F,981434547,2020-11-29 13:34:19,2020-11-29,2020-11-30-07-12-43
1000164010,2000164011,2,28,Mobile Postpaid Line,1,NULL,NULL,9158904785713974142,F,F,F,-1,F,1,0000000016,F,F,235286566,2020-11-29 13:34:19,2020-11-29,2020-11-30-07-12-43
1000164013,2000164015,2,28,Mobile Postpaid Line,1,NULL,NULL,9158905241613982517,F,F,F,-1,F,1,0000000019,F,F,618050621,2020-11-29 13:34:19,2020-11-29,2020-11-30-07-12-43
1000164111,2000164108,2,28,Mobile Postpaid Line,1,NULL,NULL,9158921419013169017,F,F,F,-1,F,1,0000000026,F,F,200616813,2020-11-29 13:34:19,2020-11-29,2020-11-30-07-12-43
1000164129,2000164129,2,28,Mobile Postpaid Line,1,NULL,NULL,9159017071813239113,F,F,F,-1,F,1,0000000029,F,F,562296443,2020-11-29 13:34:19,2020-11-29,2020-11-30-07-12-43
1000164171,2000164152,2,28,Mobile Postpaid Line,1,NULL,NULL,9159025826513411527,F,F,F,-1,F,1,0000000033,F,F,321994565,2020-11-29 13:34:19,2020-11-29,2020-11-30-07-12-43
1000164172,2000164153,2,28,Mobile Postpaid Line,1,NULL,NULL,9159025839413414484,F,F,F,-1,F,1,0000000035,F,F,182875813,2020-11-29 13:34:19,2020-11-29,2020-11-30-07-12-43
1000164176,2000164169,1,29,Mobile Postpaid Plan,1,NULL,NULL,9159026233313422037,F,F,F,-1,T,1,0000000038,F,F,892729549,2020-11-29 13:34:19,2020-11-29,2020-11-30-07-12-43
1000164181,2000164173,2,28,Mobile Postpaid Line,1,NULL,NULL,9159026666113429401,F,F,F,-1,F,1,0000000041,F,F,641796035,2020-11-29 13:34:19,2020-11-29,2020-11-30-07-12-43
1000163929,2000163929,2,28,Mobile Postpaid Line,1,NULL,NULL,9158904095613910297,F,F,F,-1,F,1,0000000001,F,F,302433693,2020-11-29 13:34:19,2020-11-29,2020-11-30-07-12-43
1000163956,2000163956,2,28,Mobile Postpaid Line,1,NULL,NULL,9158904188213935671,F,F,F,-1,F,1,0000000008,F,F,853647607,2020-11-29 13:34:19,2020-11-29,2020-11-30-07-12-43
1000163990,2000163990,2,28,Mobile Postpaid Line,1,NULL,NULL,9158904235213944232,F,F,F,-1,F,1,0000000009,F,F,946899142,2020-11-29 13:34:19,2020-11-29,2020-11-30-07-12-43
1000164128,2000164128,4,28,Mobile Postpaid Line,1,NULL,NULL,9159016477013235510,F,F,F,-1,F,3,0000000028,F,F,155457955,2020-11-29 13:34:19,2020-11-29,2020-11-30-07-12-43
1000164169,2000164150,1,29,Mobile Postpaid Plan,1,NULL,NULL,9159025071113405927,F,F,F,-1,T,1,0000000031,F,F,441295917,2020-11-29 13:34:19,2020-11-29,2020-11-30-07-12-43
1000164171,2000164152,1,29,Mobile Postpaid Plan,1,NULL,NULL,9159025822513411501,F,F,F,-1,T,1,0000000033,F,F,321994565,2020-11-29 13:34:19,2020-11-29,2020-11-30-07-12-43
1000164172,2000164153,1,29,Mobile Postpaid Plan,1,NULL,NULL,9159025835413414484,F,F,F,-1,T,1,0000000035,F,F,182875813,2020-11-29 13:34:19,2020-11-29,2020-11-30-07-12-43
1000164174,2000164154,1,29,Mobile Postpaid Plan,1,NULL,NULL,9159025920313416784,F,F,F,-1,T,1,0000000036,F,F,867708818,2020-11-29 13:34:19,2020-11-29,2020-11-30-07-12-43
1000164175,2000164168,1,29,Mobile Postpaid Plan,1,NULL,NULL,9159026104813419472,F,F,F,-1,T,1,0000000037,F,F,142954929,2020-11-29 13:34:19,2020-11-29,2020-11-30-07-12-43
1000164175,2000164168,2,28,Mobile Postpaid Line,1,NULL,NULL,9159026108813419472,F,F,F,-1,F,1,0000000037,F,F,142954929,2020-11-29 13:34:19,2020-11-29,2020-11-30-07-12-43
1000163929,2000163929,1,29,Mobile Postpaid Plan,1,NULL,NULL,9158904091613910297,F,F,F,-1,T,1,0000000001,F,F,302433693,2020-11-29 13:34:19,2020-11-29,2020-11-30-07-12-43
1000163951,2000163951,1,29,Mobile Postpaid Plan,1,NULL,NULL,9158904171713930507,F,F,F,-1,T,1,0000000003,F,F,76063392,2020-11-29 13:34:19,2020-11-29,2020-11-30-07-12-43
1000163990,2000163990,1,29,Mobile Postpaid Plan,1,NULL,NULL,9158904232213944232,F,F,F,-1,T,1,0000000009,F,F,946899142,2020-11-29 13:34:19,2020-11-29,2020-11-30-07-12-43
1000164000,2000164000,2,28,Mobile Postpaid Line,1,NULL,NULL,9158904395013956905,F,F,F,-1,F,1,0000000012,F,F,695166264,2020-11-29 13:34:19,2020-11-29,2020-11-30-07-12-43
1000164011,2000164012,1,29,Mobile Postpaid Plan,1,NULL,NULL,9158904941913978167,F,F,F,-1,T,1,0000000017,F,F,310116340,2020-11-29 13:34:19,2020-11-29,2020-11-30-07-12-43
1000164011,2000164012,2,28,Mobile Postpaid Line,1,NULL,NULL,9158904945913978167,F,F,F,-1,F,1,0000000017,F,F,310116340,2020-11-29 13:34:19,2020-11-29,2020-11-30-07-12-43
1000164022,2000164023,2,28,Mobile Postpaid Line,1,NULL,NULL,9158905370613989460,F,F,F,-1,F,1,0000000021,F,F,408592629,2020-11-29 13:34:19,2020-11-29,2020-11-30-07-12-43
1000164027,2000164028,1,29,Mobile Postpaid Plan,1,NULL,NULL,9158905469513994641,F,F,F,-1,T,1,0000000022,F,F,439830224,2020-11-29 13:34:19,2020-11-29,2020-11-30-07-12-43
1000164028,2000164029,1,29,Mobile Postpaid Plan,1,NULL,NULL,9158905526513996800,F,F,F,-1,T,1,0000000023,F,F,937315709,2020-11-29 13:34:19,2020-11-29,2020-11-30-07-12-43
1000164129,2000164129,1,29,Mobile Postpaid Plan,1,NULL,NULL,9159017077713239113,F,F,F,-1,T,1,0000000029,F,F,562296443,2020-11-29 13:34:19,2020-11-29,2020-11-30-07-12-43
1000164168,2000164149,1,29,Mobile Postpaid Plan,1,NULL,NULL,9159025064813405198,F,F,F,-1,T,1,0000000030,F,F,18626523,2020-11-29 13:34:19,2020-11-29,2020-11-30-07-12-43
1000164169,2000164150,2,28,Mobile Postpaid Line,1,NULL,NULL,9159025075113405927,F,F,F,-1,F,1,0000000031,F,F,441295917,2020-11-29 13:34:19,2020-11-29,2020-11-30-07-12-43
1000164170,2000164151,1,29,Mobile Postpaid Plan,1,NULL,NULL,9159025801013410015,F,F,F,-1,T,1,0000000032,F,F,221422765,2020-11-29 13:34:19,2020-11-29,2020-11-30-07-12-43
1000164171,2000164152,4,28,Mobile Postpaid Line,1,NULL,NULL,9159025835913413146,F,F,F,-1,F,3,0000000034,F,F,321994565,2020-11-29 13:34:19,2020-11-29,2020-11-30-07-12-43
1000164176,2000164169,2,28,Mobile Postpaid Line,1,NULL,NULL,9159026237313422037,F,F,F,-1,F,1,0000000038,F,F,892729549,2020-11-29 13:34:19,2020-11-29,2020-11-30-07-12-43
1000164181,2000164173,1,29,Mobile Postpaid Plan,1,NULL,NULL,9159026662113429401,F,F,F,-1,T,1,0000000041,F,F,641796035,2020-11-29 13:34:19,2020-11-29,2020-11-30-07-12-43
