party_role_id,individual_id,customer_id,customer_ref,individual_ref,role_id,role_value,extraction_timestamp,date,history_date
9158602931913911427,9158602905513911201,9158602904513911201,1000164160,3000163961,9135750140013147619,Customer,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602938813911551,9158602935713911315,9158602934713911315,1000164162,3000163963,9135750140013147619,Customer,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602949113912213,9158602935413911981,9158602934413911981,1000164170,3000163971,9135750140013147619,Customer,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158742357913302860,9158742350913302860,9158742356813302860,1000167230,3000164050,9135750140013147619,Customer,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9154793098813366517,9154793098813366509,9154793098813366505,1000163974,3000163960,9135750140013147619,Customer,2020-11-13 09:16:39.0,2020-11-13,2020-11-13-09-16-39
9158602851813908765,9158602843213908672,9158602842213908672,1000164031,3000163930,9135750140013147619,Customer,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602853713908874,9158602858813908600,9158602857813908600,1000164074,3000163932,9135750140013147619,Customer,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602854713908765,9158602844613908572,9158602783613908525,1000163989,3000163929,9135750140013147619,Customer,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602876213909969,9158602864213909698,9158602863213909698,1000164090,3000163943,9135750140013147619,Customer,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602881913910481,9158602887113910224,9158602886113910224,1000164132,3000163950,9135750140013147619,Customer,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602882313910694,9158602882813910360,9158602881813910360,1000164141,3000163953,9135750140013147619,Customer,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602890113911192,9158602899613910841,9158602898613910841,1000164147,3000163959,9135750140013147619,Customer,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602899013910941,9158602899213910709,9158602898213910709,1000164143,3000163955,9135750140013147619,Customer,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602931913911991,9158602936013911861,9158602935013911861,1000164166,3000163967,9135750140013147619,Customer,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602943713912659,9158602944613912659,9158602940613912648,1000164177,3000163978,9135750140013147619,Customer,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602946113912970,9158602947013912970,9158602943013912970,1000164182,3000163983,9135750140013147619,Customer,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602949013912426,9158602941913912326,9158602942813912326,1000164173,3000163973,9135750140013147619,Customer,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602949913912219,9158602939713911991,9158602938713911991,1000164171,3000163972,9135750140013147619,Customer,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158605164313979814,9158605165213979814,9158605161213979814,1000166592,3000164011,9135750140013147619,Customer,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158638228513190356,9158638229413190356,9158638225413190356,1000167222,3000164029,9135750140013147619,Customer,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602857613908984,9158602858113908700,9158602857113908700,1000164077,3000163933,9135750140013147619,Customer,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602869113909359,9158602865913909014,9158602864913909014,1000164081,3000163936,9135750140013147619,Customer,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602876713909985,9158602874713909626,9158602873713909626,1000164094,3000163945,9135750140013147619,Customer,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602879013909843,9158602864813909598,9158602863813909598,1000164087,3000163942,9135750140013147619,Customer,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602880713910124,9158602876813909869,9158602875813909869,1000164110,3000163947,9135750140013147619,Customer,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602890113911070,9158602890113910817,9158602899013910817,1000164145,3000163957,9135750140013147619,Customer,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602902913911101,9158602896313911192,9158602895313911192,1000164159,3000163960,9135750140013147619,Customer,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602937113911757,9158602920113911386,9158602929013911386,1000164165,3000163966,9135750140013147619,Customer,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602939513911527,9158602921413911386,9158602920413911386,1000164161,3000163962,9135750140013147619,Customer,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602944913912763,9158602945813912763,9158602949713912763,1000164180,3000163981,9135750140013147619,Customer,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602945713912113,9158602931913911881,9158602939813911881,1000164169,3000163970,9135750140013147619,Customer,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602947813912548,9158602946613912219,9158602945613912219,1000164176,3000163977,9135750140013147619,Customer,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602948413912542,9158602949313912542,9158602945313912542,1000164175,3000163976,9135750140013147619,Customer,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158603451113913469,9158603454013913469,9158603450013913469,1000166567,3000163988,9135750140013147619,Customer,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158603636213913700,9158603639113913700,9158603635113913700,1000166569,3000163990,9135750140013147619,Customer,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158605172713979942,9158605165213979814,9158605161213979814,1000166592,3000164011,9134809582313422803,Accounting/Billing,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158638260913190526,9158638229413190356,9158638225413190356,1000167222,3000164029,9134809582313422803,Accounting/Billing,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9157172529813835280,9154793098813366509,9154793098813366505,1000163974,3000163960,9134809582313422803,Accounting/Billing,2020-11-13 09:16:39.0,2020-11-13,2020-11-13-09-16-39
9158602868513909475,9158602865513909114,9158602864513909114,1000164083,3000163938,9135750140013147619,Customer,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602868713909375,9158602866213909114,9158602865213909114,1000164082,3000163937,9135750140013147619,Customer,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602869113909243,9158602855313909084,9158602854313909084,1000164079,3000163934,9135750140013147619,Customer,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602872113910191,9158602876513909843,9158602875513909843,1000164100,3000163946,9135750140013147619,Customer,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602881513910460,9158602878313910191,9158602877313910191,1000164128,3000163949,9135750140013147619,Customer,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602883013910694,9158602881513910337,9158602880513910337,1000164140,3000163952,9135750140013147619,Customer,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602899313911070,9158602890413910817,9158602899313910817,1000164146,3000163958,9135750140013147619,Customer,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602899513910941,9158602890813910717,9158602899713910717,1000164144,3000163956,9135750140013147619,Customer,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602937113911651,9158602939013911415,9158602938013911415,1000164163,3000163964,9135750140013147619,Customer,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602941213912542,9158602942113912542,9158602948013912542,1000164174,3000163975,9135750140013147619,Customer,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602942913912659,9158602944713912326,9158602943713912326,1000164178,3000163979,9135750140013147619,Customer,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602947113912759,9158602944013912759,9158602943913912659,1000164179,3000163980,9135750140013147619,Customer,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158602948013912426,9158602940913912326,9158602943813912326,1000164172,3000163974,9135750140013147619,Customer,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
9158605071313978800,9158605072213978800,9158605078113978800,1000166589,3000164009,9135750140013147619,Customer,2020-11-06 13:15:44.0,2020-11-06,2020-11-13-09-16-39
