source_class_id,source_class_value,source_class_bitflag,feed_source_bitfield,source_table_value_ora,source_value_col_ora,source_class_desc,extraction_timestamp,date,history_date
28,US Tax on Invoice,134217728,1,NULL,NULL,NULL,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
33,Account Payment,4294967296,9,PAYMENTMETHOD,PAYMENT_METHOD_ID,The source class for payment that have been successfully processed by the Payment Aggregation process,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
37,Deferred Charge,68719476736,1,NULL,NULL,NULL,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
44,Failed or Cancelled Account Payment,8796093022208,1,NULL,NULL,The source class for failed or cancelled account payment that should be processed by the BG,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
46,US Tax Discrepancy in RATE vs BG Taxes,35184372088832,1,NULL,NULL,NULL,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
7,Package Saving,64,21,PRODUCT,PRODUCT_ID,NULL,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
8,Override Saving,128,21,PRODUCT,PRODUCT_ID,NULL,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
11,Multiplied  Early Termination Surcharge,1024,21,NULL,NULL,NULL,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
25,Payment Method Discount,16777216,1,NULL,NULL,NULL,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
38,Settleup Charge,137438953472,1,NULL,NULL,NULL,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
39,One-time Charge Interest,274877906944,1,NULL,NULL,NULL,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
2,Standalone Adjustment,2,21,NULL,NULL,NULL,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
5,Event Dispute Adjustment,16,17,EVENTTYPE,EVENT_TYPE_ID,NULL,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
13,Rating Time Discount,4096,1,EVENTTYPE,EVENT_TYPE_ID,NULL,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
17,Aggregate Pricing,65536,1,NULL,NULL,NULL,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
24,Invoice Total Rounding,8388608,1,NULL,NULL,NULL,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
30,Brazilian Tax,536870912,5,NULL,NULL,NULL,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
31,Brazilian Tax Rounding,1073741824,1,NULL,NULL,NULL,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
41,US Tax in Invoice,1099511627776,1,NULL,NULL,NULL,2020-11-12 18:04:35.0,2020-11-12,2020-11-12-18-04-35
