customer_ref,account_num,product_seq,product_id,product_name,product_type,parent_product_seq,cust_order_num,supplier_order_num,suppress_init_charge_boo,suppress_term_charge_boo,suppress_early_term_charge_boo,event_source_count,subscription_boo,subs_product_seq,subscription_ref,template_optional_prod_boo,has_add_on_products_boo,domain_id,history_date
1000164108,2000164028,3,924,Mobile Line,1,NULL,NULL,9158144678813285297,F,F,F,-1,F,1,0000000010,F,F,765458487,2020-10-04-00-00-00
1000164109,2000164029,2,939,5 Euro Discount Mobile Postpaid MRC (3 m,1,NULL,NULL,9158144706513286184,F,F,F,-1,F,1,0000000011,F,F,909981984,2020-10-04-00-00-00
1000163970,2000163931,3,924,Mobile Line,1,NULL,NULL,9158144036913257243,F,F,F,-1,F,1,0000000001,F,F,46232338,2020-10-04-00-00-00
1000164028,2000163969,2,937,10% Season Discount,1,NULL,NULL,9158144356513277190,F,F,F,-1,F,1,0000000002,F,F,729759248,2020-10-04-00-00-00
1000164051,2000163991,2,938,Acquisition Discount $3,1,NULL,NULL,9158144494413279322,F,F,F,-1,F,1,0000000003,F,F,442425723,2020-10-04-00-00-00
1000164069,2000164019,3,924,Mobile Line,1,NULL,NULL,9158144621513283438,F,F,F,-1,F,1,0000000008,F,F,999175547,2020-10-04-00-00-00
1000164092,2000164018,1,919,Mobile Prepaid,1,NULL,NULL,9158144614013282722,F,F,F,-1,T,1,0000000006,F,F,682128229,2020-10-04-00-00-00
1000164093,2000164015,3,924,Mobile Line,1,NULL,NULL,9158144621713283013,F,F,F,-1,F,1,0000000007,F,F,253576368,2020-10-04-00-00-00
1000164093,2000164015,6,921,Calling Feature,1,3,NULL,9158144623813283013,F,F,F,-1,F,1,0000000007,F,F,253576368,2020-10-04-00-00-00
1000164095,2000164017,4,922,Roaming,1,3,NULL,9158144620313283876,F,F,F,-1,F,1,0000000009,F,F,887488855,2020-10-04-00-00-00
1000164108,2000164028,1,925,Mobile Postpaid,1,NULL,NULL,9158144674813285297,F,F,F,-1,T,1,0000000010,F,F,765458487,2020-10-04-00-00-00
1000164109,2000164029,3,924,Mobile Line,1,NULL,NULL,9158144703413286172,F,F,F,-1,F,1,0000000011,F,F,909981984,2020-10-04-00-00-00
1000163970,2000163931,2,938,Acquisition Discount $3,1,NULL,NULL,9158144036013257343,F,F,F,-1,F,1,0000000001,F,F,46232338,2020-10-04-00-00-00
1000164028,2000163969,3,938,Acquisition Discount $3,1,NULL,NULL,9158144357513277190,F,F,F,-1,F,1,0000000002,F,F,729759248,2020-10-04-00-00-00
1000164069,2000164019,2,938,Acquisition Discount $3,1,NULL,NULL,9158144627613283438,F,F,F,-1,F,1,0000000008,F,F,999175547,2020-10-04-00-00-00
1000164069,2000164019,4,921,Calling Feature,1,3,NULL,9158144623613283438,F,F,F,-1,F,1,0000000008,F,F,999175547,2020-10-04-00-00-00
1000164069,2000164019,5,921,Calling Feature,1,3,NULL,9158144627513283438,F,F,F,-1,F,1,0000000008,F,F,999175547,2020-10-04-00-00-00
1000164070,2000164009,2,938,Acquisition Discount $3,1,NULL,NULL,9158144512313280103,F,F,F,-1,F,1,0000000004,F,F,24825186,2020-10-04-00-00-00
1000164091,2000164014,1,919,Mobile Prepaid,1,NULL,NULL,9158144596713281995,F,F,F,-1,T,1,0000000005,F,F,211456839,2020-10-04-00-00-00
1000164095,2000164017,2,939,5 Euro Discount Mobile Postpaid MRC (3 m,1,NULL,NULL,9158144624313283876,F,F,F,-1,F,1,0000000009,F,F,887488855,2020-10-04-00-00-00
1000164028,2000163969,9,923,Social Networks,1,4,NULL,9158144352513277190,F,F,F,-1,F,1,0000000002,F,F,729759248,2020-10-04-00-00-00
1000164051,2000163991,1,919,Mobile Prepaid,1,NULL,NULL,9158144482313279390,F,F,F,-1,T,1,0000000003,F,F,442425723,2020-10-04-00-00-00
1000164069,2000164019,1,919,Mobile Prepaid,1,NULL,NULL,9158144627413283438,F,F,F,-1,T,1,0000000008,F,F,999175547,2020-10-04-00-00-00
1000164091,2000164014,3,924,Mobile Line,1,NULL,NULL,9158144590813281995,F,F,F,-1,F,1,0000000005,F,F,211456839,2020-10-04-00-00-00
1000164092,2000164018,2,938,Acquisition Discount $3,1,NULL,NULL,9158144617113282722,F,F,F,-1,F,1,0000000006,F,F,682128229,2020-10-04-00-00-00
1000164093,2000164015,2,938,Acquisition Discount $3,1,NULL,NULL,9158144625913283013,F,F,F,-1,F,1,0000000007,F,F,253576368,2020-10-04-00-00-00
1000164093,2000164015,5,923,Social Networks,1,3,NULL,9158144622913283013,F,F,F,-1,F,1,0000000007,F,F,253576368,2020-10-04-00-00-00
1000164093,2000164015,7,923,Social Networks,1,3,NULL,9158144626813283013,F,F,F,-1,F,1,0000000007,F,F,253576368,2020-10-04-00-00-00
1000164108,2000164028,2,939,5 Euro Discount Mobile Postpaid MRC (3 m,1,NULL,NULL,9158144678913285297,F,F,F,-1,F,1,0000000010,F,F,765458487,2020-10-04-00-00-00
1000164109,2000164029,1,925,Mobile Postpaid,1,NULL,NULL,9158144709313286172,F,F,F,-1,T,1,0000000011,F,F,909981984,2020-10-04-00-00-00
